GeoLoc,Year,State,Pop_Est,F_Fatal,M_Fatal,O_Fatal,F_ER,M_ER,O_ER,F_HOSP,M_HOSP,O_HOSP
POINT (-86.14996019399968 39.766910452000445),2017,Indiana,6662068,49,29,78,,,,39,45,84
POINT (-93.81649055599968 42.46940091300047),2017,Iowa,3143734,24,8,32,5079,4532,9611,550,411,961
POINT (-98.20078122699965 38.34774030000045),2017,Kansas,2910892,25,18,43,,,,,,
POINT (-84.77497104799966 37.645970271000465),2017,Kentucky,4455590,16,16,32,8901,7071,15972,1071,674,1745
POINT (-92.44568007099969 31.31266064400046),2017,Louisiana,4673673,18,21,39,,,,,,
POINT (-68.98503133599962 45.254228894000505),2017,Maine,1335743,,,,,,,200,123,323
POINT (-76.60926011099963 39.29058096400047),2017,Maryland,6028186,36,32,68,17908,16532,34440,2298,1748,4046
POINT (-72.08269067499964 42.27687047000046),2017,Massachusetts,6863560,43,28,71,,,,,,
POINT (-84.71439026999968 44.6613195430005),2017,Michigan,9976752,75,44,119,,,,3680,2338,6018
POINT (-94.79420050299967 46.35564873600049),2017,Minnesota,5569283,41,14,55,9590,8436,18026,1044,736,1780
POINT (-89.53803082499968 32.745510099000455),2017,Mississippi,2990674,29,18,47,,,,,,
POINT (-92.56630005299968 38.635790776000476),2017,Missouri,6111382,35,33,68,,,,,,
POINT (-109.42442064499971 47.06652897200047),2017,Montana,1053862,,,,,,,,,
POINT (-99.36572062299967 41.6410409880005),2017,Nebraska,1916998,11.5,11.5,23,2543,2326,4869,569,353,922
POINT (-117.07184056399967 39.493240390000494),2017,Nevada,2972097,16,16,32,,,,963,805,1768
POINT (-71.50036091999965 43.65595011300047),2017,New Hampshire,1350395,,,,,,,,,
POINT (-74.27369128799967 40.13057004800049),2017,New Jersey,8888147,63,47,110,29963,24245,54208,3983,2492,6475
POINT (-106.24058098499967 34.52088095200048),2017,New Mexico,2092844,24,17,41,,,,528,480,1008
POINT (-75.54397042699964 42.82700103200045),2017,New York,19593849,149,107,256,,,,,,
POINT (-79.15925046299964 35.466220975000454),2017,North Carolina,10275758,68,48,116,25830,21809,47639,3046,1886,4932
POINT (-100.11842104899966 47.47531977900047),2017,North Dakota,756755,,,,,,,,,
POINT (-82.40426005599966 40.06021014100048),2017,Ohio,11665706,83,52,135,,,,,,
POINT (-97.52107021399968 35.47203135600046),2017,Oklahoma,3933602,29,25,54,,,,,,
POINT (-120.15503132599969 44.56744942400047),2017,Oregon,4147294,49,16,65,6972,5535,12507,721,481,1202
POINT (-77.86070029399963 40.79373015200048),2017,Pennsylvania,12794679,90,42,132,,,,,,
POINT (-71.52247031399963 41.70828019300046),2017,Rhode Island,1056554,,,,2829,2438,5267,484,231,715
POINT (-81.04537120699968 33.998821303000454),2017,South Carolina,5027102,32,37,69,12994,10873,23867,1486,984,2470
POINT (-100.3735306369997 44.353130053000484),2017,South Dakota,873732,,,,,,,150,129,279
POINT (-85.77449091399967 35.68094058000048),2017,Tennessee,6714748,45,27,72,,,,,,
POINT (-99.42677020599967 31.827240407000488),2017,Texas,28291024,144,88,232,,,,,,
POINT (-111.58713063499971 39.360700171000474),2017,Utah,3103540,15.5,15.5,31,3491,2853,6344,,,
POINT (-72.51764079099962 43.62538123900049),2017,Vermont,625132,,,,,,,,,
POINT (-78.45789046299967 37.54268067400045),2017,Virginia,8471011,47,24,71,,,,,,
POINT (-120.47001078999972 47.52227862900048),2017,Washington,7427951,67,38,105,,,,1343,943,2286
POINT (-80.71264013499967 38.66551020200046),2017,West Virginia,1818683,12,12,24,,,,409,223,632
POINT (-89.81637074199966 44.39319117400049),2017,Wisconsin,5793147,34,25,59,11902,9997,21899,1332,686,2018
POINT (-108.10983035299967 43.23554134300048),2017,Wyoming,579994,,,,,,,,,
POINT (-86.63186076199969 32.84057112200048),2018,Alabama,4891628,39,22,61,,,,,,
POINT (-147.72205903599973 64.84507995700051),2018,Alaska,736624,,,,,,,145,102,247
POINT (-111.76381127699972 34.865970280000454),2018,Arizona,7164228,52,40,92,14824,13170,27994,1716,1444,3160
POINT (-92.27449074299966 34.74865012400045),2018,Arkansas,3012161,15.5,15.5,31,5667,4997,10664,772,480,1252
POINT (-120.99999953799971 37.63864012300047),2018,California,39437463,227,160,387,,,,,,
POINT (-106.13361092099967 38.843840757000464),2018,Colorado,5697155,34,12,46,10500,9180,19680,1159,1068,2227
POINT (-72.64984095199964 41.56266102000046),2018,Connecticut,3574561,29,13,42,,,,,,
POINT (-75.57774116799965 39.008830667000495),2018,Delaware,966985,,,,,,,505,443,948
POINT (-77.036871 38.907192),2018,District of Columbia,704147,,,,,,,397,311,708
POINT (-81.92896053899966 28.932040377000476),2018,Florida,21254926,136,75,211,62928,52446,115374,8722,5158,13880
POINT (-83.62758034599966 32.83968109300048),2018,Georgia,10519389,60,38,98,31915,28729,60644,3554,2359,5913
POINT (-157.85774940299973 21.304850435000446),2018,Hawaii,1423102,17,17,34,,,,,,
POINT (-114.3637300419997 43.682630005000476),2018,Idaho,1752074,,,,,,,,,
POINT (-88.99771017799969 40.48501028300046),2018,Illinois,12724685,77,60,137,,,,,,
POINT (-86.14996019399968 39.766910452000445),2018,Indiana,6698481,45,28,73,,,,,,
POINT (-93.81649055599968 42.46940091300047),2018,Iowa,3149900,25,16,41,5006,4251,9257,478,371,849
POINT (-98.20078122699965 38.34774030000045),2018,Kansas,2912748,14.5,14.5,29,,,,,,
POINT (-84.77497104799966 37.645970271000465),2018,Kentucky,4464273,13.5,13.5,27,8950,6953,15903,1159,692,1851
POINT (-92.44568007099969 31.31266064400046),2018,Louisiana,4664450,32,23,55,,,,,,
POINT (-68.98503133599962 45.254228894000505),2018,Maine,1340123,,,,,,,230,123,353
POINT (-76.60926011099963 39.29058096400047),2018,Maryland,6042153,31,18,49,16957,15617,32574,2118,1517,3635
POINT (-72.08269067499964 42.27687047000046),2018,Massachusetts,6885720,39,28,67,,,,,,
POINT (-84.71439026999968 44.6613195430005),2018,Michigan,9987286,56,42,98,,,,3566,2436,6002
POINT (-94.79420050299967 46.35564873600049),2018,Minnesota,5608762,37,25,62,9329,8344,17673,1062,778,1840
POINT (-89.53803082499968 32.745510099000455),2018,Mississippi,2982879,32,19,51,,,,1163,691,1854
POINT (-92.56630005299968 38.635790776000476),2018,Missouri,6125986,43,41,84,,,,,,
POINT (-109.42442064499971 47.06652897200047),2018,Montana,1061818,,,,,,,,,
POINT (-99.36572062299967 41.6410409880005),2018,Nebraska,1925512,11.5,11.5,23,2524,2279,4803,275,199,474
POINT (-117.07184056399967 39.493240390000494),2018,Nevada,3030725,10,22,32,7817,6993,14810,1046,777,1823
POINT (-71.50036091999965 43.65595011300047),2018,New Hampshire,1355064,,,,,,,,,
POINT (-74.27369128799967 40.13057004800049),2018,New Jersey,8891730,51,42,93,28367,23806,52173,4076,2722,6798
POINT (-106.24058098499967 34.52088095200048),2018,New Mexico,2093754,10,10,20,,,,545,488,1033
POINT (-75.54397042699964 42.82700103200045),2018,New York,19544098,168,99,267,,,,,,
POINT (-79.15925046299964 35.466220975000454),2018,North Carolina,10391358,67,27,94,24827,21129,45956,3092,1991,5083
POINT (-100.11842104899966 47.47531977900047),2018,North Dakota,760062,,,,,,,,,
POINT (-82.40426005599966 40.06021014100048),2018,Ohio,11680892,79,45,124,,,,,,
POINT (-97.52107021399968 35.47203135600046),2018,Oklahoma,3943488,20,18,38,,,,,,
POINT (-120.15503132599969 44.56744942400047),2018,Oregon,4183538,37,21,58,6900,5919,12819,667,501,1168
POINT (-77.86070029399963 40.79373015200048),2018,Pennsylvania,12809107,86,49,135,,,,,,
POINT (-71.52247031399963 41.70828019300046),2018,Rhode Island,1059338,,,,2472,2283,4755,400,209,609
POINT (-81.04537120699968 33.998821303000454),2018,South Carolina,5091702,32,28,60,,,,1428,868,2296
POINT (-100.3735306369997 44.353130053000484),2018,South Dakota,879386,,,,,,,176,139,315
POINT (-85.77449091399967 35.68094058000048),2018,Tennessee,6778180,45,32,77,,,,,,
POINT (-99.42677020599967 31.827240407000488),2018,Texas,28624564,133,82,215,,,,,,
POINT (-111.58713063499971 39.360700171000474),2018,Utah,3155153,15,15,30,,,,,,
POINT (-72.51764079099962 43.62538123900049),2018,Vermont,624802,,,,996,803,1799,86,61,147
POINT (-78.45789046299967 37.54268067400045),2018,Virginia,8510920,60,32,92,,,,,,
POINT (-120.47001078999972 47.52227862900048),2018,Washington,7526793,54,32,86,,,,1381,957,2338
POINT (-80.71264013499967 38.66551020200046),2018,West Virginia,1805953,10,10,20,,,,359,237,596
POINT (-89.81637074199966 44.39319117400049),2018,Wisconsin,5809319,36,35,71,11374,9800,21174,1293,693,1986
POINT (-108.10983035299967 43.23554134300048),2018,Wyoming,579054,,,,,,,,,
POINT (-86.63186076199969 32.84057112200048),2019,Alabama,4907965,28,30,58,,,,,,
POINT (-147.72205903599973 64.84507995700051),2019,Alaska,733603,,,,,,,,,
POINT (-111.76381127699972 34.865970280000454),2019,Arizona,7291843,48,39,87,,,,,,
POINT (-92.27449074299966 34.74865012400045),2019,Arkansas,3020985,16,20,36,,,,,,
POINT (-120.99999953799971 37.63864012300047),2019,California,39437610,229,148,377,,,,,,
POINT (-106.13361092099967 38.843840757000464),2019,Colorado,5758486,33,21,54,,,,,,
POINT (-72.64984095199964 41.56266102000046),2019,Connecticut,3566022,20,23,43,,,,,,
POINT (-75.57774116799965 39.008830667000495),2019,Delaware,976668,,,,,,,,,
POINT (-77.036871 38.907192),2019,District of Columbia,708253,,,,,,,,,
POINT (-81.92896053899966 28.932040377000476),2019,Florida,21492056,130,69,199,,,,,,
POINT (-83.62758034599966 32.83968109300048),2019,Georgia,10628020,66,49,115,,,,,,
POINT (-157.85774940299973 21.304850435000446),2019,Hawaii,1415615,12.5,12.5,25,,,,,,
POINT (-114.3637300419997 43.682630005000476),2019,Idaho,1789060,,,,,,,,,
POINT (-88.99771017799969 40.48501028300046),2019,Illinois,12667017,91,80,171,,,,,,
POINT (-86.14996019399968 39.766910452000445),2019,Indiana,6731010,49,37,86,,,,,,
POINT (-93.81649055599968 42.46940091300047),2019,Iowa,3159596,32,22,54,,,,,,
POINT (-98.20078122699965 38.34774030000045),2019,Kansas,2912635,15.5,15.5,31,,,,,,
POINT (-84.77497104799966 37.645970271000465),2019,Kentucky,4472345,22,10,32,,,,,,
POINT (-92.44568007099969 31.31266064400046),2019,Louisiana,4658285,24,16,40,,,,,,
POINT (-68.98503133599962 45.254228894000505),2019,Maine,1345770,,,,,,,,,
POINT (-76.60926011099963 39.29058096400047),2019,Maryland,6054954,53,24,77,,,,,,
POINT (-72.08269067499964 42.27687047000046),2019,Massachusetts,6894883,44,36,80,,,,,,
POINT (-84.71439026999968 44.6613195430005),2019,Michigan,9984795,57,49,106,,,,,,
POINT (-94.79420050299967 46.35564873600049),2019,Minnesota,5640053,44,34,78,,,,,,
POINT (-89.53803082499968 32.745510099000455),2019,Mississippi,2978227,27,31,58,,,,,,
POINT (-92.56630005299968 38.635790776000476),2019,Missouri,6140475,37,23,60,,,,,,
POINT (-109.42442064499971 47.06652897200047),2019,Montana,1070123,,,,,,,,,
POINT (-99.36572062299967 41.6410409880005),2019,Nebraska,1932571,22,14,36,,,,,,
POINT (-117.07184056399967 39.493240390000494),2019,Nevada,3090771,13,13,26,,,,,,
POINT (-71.50036091999965 43.65595011300047),2019,New Hampshire,1360783,,,,,,,,,
POINT (-74.27369128799967 40.13057004800049),2019,New Jersey,8891258,66,47,113,,,,,,
POINT (-106.24058098499967 34.52088095200048),2019,New Mexico,2099634,12.5,12.5,25,,,,,,
POINT (-75.54397042699964 42.82700103200045),2019,New York,19463131,170,117,287,,,,,,
POINT (-79.15925046299964 35.466220975000454),2019,North Carolina,10501384,61,32,93,,,,,,
POINT (-100.11842104899966 47.47531977900047),2019,North Dakota,763724,,,,,,,,,
POINT (-82.40426005599966 40.06021014100048),2019,Ohio,11696507,77,46,123,,,,,,
POINT (-97.52107021399968 35.47203135600046),2019,Oklahoma,3960676,35,15,50,,,,,,
POINT (-120.15503132599969 44.56744942400047),2019,Oregon,4216116,24,17,41,,,,,,
POINT (-77.86070029399963 40.79373015200048),2019,Pennsylvania,12798883,70,50,120,,,,,,
POINT (-71.52247031399963 41.70828019300046),2019,Rhode Island,1058158,,,,,,,,,
POINT (-81.04537120699968 33.998821303000454),2019,South Carolina,5157702,34,16,50,,,,,,
POINT (-100.3735306369997 44.353130053000484),2019,South Dakota,887127,,,,,,,,,
POINT (-85.77449091399967 35.68094058000048),2019,Tennessee,6830325,43,27,70,,,,,,
POINT (-99.42677020599967 31.827240407000488),2019,Texas,28986794,118,87,205,,,,,,
POINT (-111.58713063499971 39.360700171000474),2019,Utah,3203383,12.5,12.5,25,,,,,,
POINT (-72.51764079099962 43.62538123900049),2019,Vermont,624046,,,,,,,,,
POINT (-78.45789046299967 37.54268067400045),2019,Virginia,8556642,62,33,95,,,,,,
POINT (-120.47001078999972 47.52227862900048),2019,Washington,7614024,49,33,82,,,,,,
POINT (-80.71264013499967 38.66551020200046),2019,West Virginia,1795263,,,,,,,,,
POINT (-89.81637074199966 44.39319117400049),2019,Wisconsin,5824581,49,30,79,,,,,,
POINT (-108.10983035299967 43.23554134300048),2019,Wyoming,580116,,,,,,,,,
POINT (-86.63186076199969 32.84057112200048),2020,Alabama,5031362,34,29,63,,,,,,
POINT (-147.72205903599973 64.84507995700051),2020,Alaska,732923,,,,,,,,,
POINT (-111.76381127699972 34.865970280000454),2020,Arizona,7179943,78,43,121,,,,,,
POINT (-92.27449074299966 34.74865012400045),2020,Arkansas,3014195,20,13,33,,,,,,
POINT (-120.99999953799971 37.63864012300047),2020,California,39501653,269,177,446,,,,,,
POINT (-106.13361092099967 38.843840757000464),2020,Colorado,5784865,38,20,58,,,,,,
POINT (-72.64984095199964 41.56266102000046),2020,Connecticut,3597362,34,9,43,,,,,,
POINT (-75.57774116799965 39.008830667000495),2020,Delaware,992114,,,,,,,,,
POINT (-77.036871 38.907192),2020,District of Columbia,670868,,,,,,,,,
POINT (-81.92896053899966 28.932040377000476),2020,Florida,21589602,140,87,227,,,,,,
POINT (-83.62758034599966 32.83968109300048),2020,Georgia,10729828,76,43,119,,,,,,
POINT (-157.85774940299973 21.304850435000446),2020,Hawaii,1451043,15,15,30,,,,,,
POINT (-114.3637300419997 43.682630005000476),2020,Idaho,1849202,11.5,11.5,23,,,,,,
POINT (-88.99771017799969 40.48501028300046),2020,Illinois,1278658,88,89,177,,,,,,
POINT (-86.14996019399968 39.766910452000445),2020,Indiana,6788799,54,25,79,,,,,,
POINT (-93.81649055599968 42.46940091300047),2020,Iowa,3190571,24,22,46,,,,,,
POINT (-98.20078122699965 38.34774030000045),2020,Kansas,2937919,17.5,17.5,35,,,,,,
POINT (-84.77497104799966 37.645970271000465),2020,Kentucky,4507445,29,13,42,,,,,,
POINT (-92.44568007099969 31.31266064400046),2020,Louisiana,4651664,24,23,47,,,,,,
POINT (-68.98503133599962 45.254228894000505),2020,Maine,1363557,,,,,,,,,
POINT (-76.60926011099963 39.29058096400047),2020,Maryland,6173205,45,36,81,,,,,,
POINT (-72.08269067499964 42.27687047000046),2020,Massachusetts,6995729,51,33,84,,,,,,
POINT (-84.71439026999968 44.6613195430005),2020,Michigan,10069577,83,49,132,,,,,,
POINT (-94.79420050299967 46.35564873600049),2020,Minnesota,5709852,59,29,88,,,,,,
POINT (-89.53803082499968 32.745510099000455),2020,Mississippi,2958141,31,27,58,,,,,,
POINT (-92.56630005299968 38.635790776000476),2020,Missouri,6153998,38,21,59,,,,,,
POINT (-109.42442064499971 47.06652897200047),2020,Montana,1087075,,,,,,,,,
POINT (-99.36572062299967 41.6410409880005),2020,Nebraska,1962642,13.5,13.5,27,,,,,,
POINT (-117.07184056399967 39.493240390000494),2020,Nevada,3115648,30,16,46,,,,,,
POINT (-71.50036091999965 43.65595011300047),2020,New Hampshire,1378587,,,,,,,,,
POINT (-74.27369128799967 40.13057004800049),2020,New Jersey,9271689,84,54,138,,,,,,
POINT (-106.24058098499967 34.52088095200048),2020,New Mexico,211839,26,13,39,,,,,,
POINT (-75.54397042699964 42.82700103200045),2020,New York,20108296,187,146,333,,,,,,
POINT (-79.15925046299964 35.466220975000454),2020,North Carolina,10449445,79,47,126,,,,,,
POINT (-100.11842104899966 47.47531977900047),2020,North Dakota,779518,,,,,,,,,
POINT (-82.40426005599966 40.06021014100048),2020,Ohio,11797517,83,61,144,,,,,,
POINT (-97.52107021399968 35.47203135600046),2020,Oklahoma,3964912,35,28,63,,,,,,
POINT (-120.15503132599969 44.56744942400047),2020,Oregon,4244795,32,25,57,,,,,,
POINT (-77.86070029399963 40.79373015200048),2020,Pennsylvania,1299444,97,69,166,,,,,,
POINT (-71.52247031399963 41.70828019300046),2020,Rhode Island,1096345,,,,,,,,,
POINT (-81.04537120699968 33.998821303000454),2020,South Carolina,5131848,58,23,81,,,,,,
POINT (-100.3735306369997 44.353130053000484),2020,South Dakota,887799,,,,,,,,,
POINT (-85.77449091399967 35.68094058000048),2020,Tennessee,6925619,53,39,92,,,,,,
POINT (-99.42677020599967 31.827240407000488),2020,Texas,29232474,136,113,249,,,,,,
POINT (-111.58713063499971 39.360700171000474),2020,Utah,3283785,15,15,30,,,,,,
POINT (-72.51764079099962 43.62538123900049),2020,Vermont,642893,,,,,,,,,
POINT (-78.45789046299967 37.54268067400045),2020,Virginia,8636471,65,55,120,,,,,,
POINT (-120.47001078999972 47.52227862900048),2020,Washington,7724031,78,31,109,,,,,,
POINT (-80.71264013499967 38.66551020200046),2020,West Virginia,179142,,,,,,,,,
POINT (-89.81637074199966 44.39319117400049),2020,Wisconsin,5896271,45,40,85,,,,,,
POINT (-108.10983035299967 43.23554134300048),2020,Wyoming,577605,,,,,,,,,
