GeoLoc,Year,State,Pop_Est,F_Fatal,M_Fatal,O_Fatal,F_ER,M_ER,O_ER,F_HOSP,M_HOSP,O_HOSP
POINT (-98.20078122699965 38.34774030000045),2013,Kansas,2894306,20,12,32,,,,,,
POINT (-84.77497104799966 37.645970271000465),2013,Kentucky,4406906,27,9,36,12459,9567,22037,3211,1765,4976
POINT (-92.44568007099969 31.31266064400046),2013,Louisiana,4626040,30,26,56,,,,,,
POINT (-68.98503133599962 45.254228894000505),2013,Maine,1328543,,,,,,,,,
POINT (-76.60926011099963 39.29058096400047),2013,Maryland,5925197,50,21,71,,,,,,
POINT (-72.08269067499964 42.27687047000046),2013,Massachusetts,6715158,49,18,67,,,,,,
POINT (-84.71439026999968 44.6613195430005),2013,Michigan,9914802,67,43,110,,,,7892,4486,12383
POINT (-94.79420050299967 46.35564873600049),2013,Minnesota,5414722,48,31,79,,,,,,
POINT (-89.53803082499968 32.745510099000455),2013,Mississippi,2989839,29,32,61,,,,,,
POINT (-92.56630005299968 38.635790776000476),2013,Missouri,6042989,30,23,53,,,,,,
POINT (-109.42442064499971 47.06652897200047),2013,Montana,1014158,,,,,,,,,
POINT (-99.36572062299967 41.6410409880005),2013,Nebraska,1865813,12.5,12.5,25,2941,2450,5391,672,389,1061
POINT (-117.07184056399967 39.493240390000494),2013,Nevada,2776956,13.5,13.5,27,7439,6211,13652,1547,1016,2564
POINT (-71.50036091999965 43.65595011300047),2013,New Hampshire,1327272,,,,,,,,,
POINT (-74.27369128799967 40.13057004800049),2013,New Jersey,8857821,73,61,134,36215,30003,66250,8612,5347,13965
POINT (-106.24058098499967 34.52088095200048),2013,New Mexico,2092833,,,,,,,1036,805,1843
POINT (-75.54397042699964 42.82700103200045),2013,New York,19626488,160,123,283,96430,83146,179657,19982,13597,33579
POINT (-79.15925046299964 35.466220975000454),2013,North Carolina,9846717,70,42,112,27959,24084,52550,5585,3453,9040
POINT (-100.11842104899966 47.47531977900047),2013,North Dakota,723149,,,,,,,,,
POINT (-82.40426005599966 40.06021014100048),2013,Ohio,11579692,80,50,130,,,,,,
POINT (-97.52107021399968 35.47203135600046),2013,Oklahoma,3853891,27,23,50,,,,,,
POINT (-120.15503132599969 44.56744942400047),2013,Oregon,3924110,42,20,62,,,,1205,760,1965
POINT (-77.86070029399963 40.79373015200048),2013,Pennsylvania,12779538,110,47,157,,,,,,
POINT (-71.52247031399963 41.70828019300046),2013,Rhode Island,1055560,,,,,,,,,
POINT (-81.04537120699968 33.998821303000454),2013,South Carolina,4766469,36,25,61,16662,13480,30142,3482,2037,5519
POINT (-100.3735306369997 44.353130053000484),2013,South Dakota,842751,,,,,,,303,210,513
POINT (-85.77449091399967 35.68094058000048),2013,Tennessee,6496943,38,24,62,,,,,,
POINT (-99.42677020599967 31.827240407000488),2013,Texas,26479646,124,89,213,,,,,,
POINT (-111.58713063499971 39.360700171000474),2013,Utah,2898773,20,11,31,,,,,,
POINT (-72.51764079099962 43.62538123900049),2013,Vermont,626603,,,,1410,1134,2545,209,105,314
POINT (-78.45789046299967 37.54268067400045),2013,Virginia,8255861,59,28,87,,,,,,
POINT (-120.47001078999972 47.52227862900048),2013,Washington,6966252,47,40,87,,,,2358,1616,3974
POINT (-80.71264013499967 38.66551020200046),2013,West Virginia,1854768,15,15,30,,,,1444,694,2140
POINT (-89.81637074199966 44.39319117400049),2013,Wisconsin,5738012,48,27,75,12781,10915,23701,2969,1934,4906
POINT (-108.10983035299967 43.23554134300048),2013,Wyoming,582620,,,,,,,,,
POINT (-86.63186076199969 32.84057112200048),2014,Alabama,4843737,35,22,57,,,,,,
POINT (-147.72205903599973 64.84507995700051),2014,Alaska,737075,,,,,,,,,
